"PRODUCT_ID","LANGUAGE_ID","TRANSLATED_NAME","TRANSLATED_DESCRIPTION"
3355,"US","HD 8GB /SI","8GB SCSI hard disk drive, internal. With compatibility across many enterprise platforms, you are free to deploy and re-deploy this drive to quickly deliver increased storage capacity. "
1772,"US","HD 9.1GB @10000","Hard disk drive - 9.1 GB, rated up to 10,000 RPM. These drives are intended for use in data-critical enterprise environments. Ease of doing business: you can easily select the drives you need regardless of the application in which they will be deployed."
2414,"US","HD 9.1GB @10000 /I","9.1 GB SCSI hard disk @ 10000 RPM (internal). Supra7 disk drives are available in 10,000 RPM spindle speeds and capacities of 18GB and 9.1 GB. SCSI and RS-232 interfaces."
2415,"US","HD 9.1GB @7200","9.1 GB hard disk @ 7200 RPM. Universal option kits are configured and pre-mounted in the appropriate hot plug tray for immediate installation into your corporate server or storage system."
2395,"US","32MB Cache /M","32MB Mirrored cache memory (100-MHz Registered SDRAM)"
1755,"US","32MB Cache /NM","32MB Non-Mirrored cache memory"
2406,"US","64MB Cache /M","64MB Mirrored cache memory"
2404,"US","64MB Cache /NM","64 MB Non-mirrored cache memory. FPM memory chips are implemented on 5 volt SIMMs, but are also available on 3.3 volt DIMMs."
1770,"US","8MB Cache /NM","8MB Non-Mirrored Cache Memory (100-MHz Registered SDRAM)"
2412,"US","8MB EDO Memory","8 MB 8x32 EDO SIM memory. Extended Data Out memory differs from FPM in a small, but significant design change. Unlike FPM, the data output drivers for EDO remain on when the memory controller removes the column address to begin the next cycle. Therefore, a new data cycle can begin before the previous cycle has completed. EDO is available on SIMMs and DIMMs, in 3.3 and 5 volt varieties."
2378,"US","DIMM - 128 MB","128 MB DIMM memory. The main reason for the change from SIMMs to DIMMs is to support the higher bus widths of 64-bit processors. DIMMs are 64- or 72-bits wide; SIMMs are only 32- or 36-bits wide (with parity)."
3087,"US","DIMM - 16 MB","Citrus OLX DIMM - 16 MB capacity."
2384,"US","DIMM - 1GB","Memory DIMM: RAM - 1 GB capacity."
1749,"US","DIMM - 256MB","Memory DIMM: RAM 256 MB. (100-MHz Registered SDRAM)"
1750,"US","DIMM - 2GB","Memory DIMM: RAM, 2 GB capacity."
2394,"US","DIMM - 32MB","32 MB DIMM Memory upgrade"
2400,"US","DIMM - 512 MB","512 MB DIMM memory. Improved memory upgrade granularity: Fewer DIMMs are required to upgrade a system than it would require if using SIMMs in the same system. Increased maximum memory ceilings: Given the same number of memory slots, the maximum memory of a system using DIMMs is more than one using SIMMs. DIMMs have separate contacts on each side of the board, which provide two times the data rate as one SIMM."
1763,"US","DIMM - 64MB","Memory DIMM: RAM, 64MB (100-MHz Unregistered ECC SDRAM)"
2396,"US","EDO - 32MB","Memory EDO SIM: RAM, 32 MB (100-MHz Unregistered ECC SDRAM). Like FPM, EDO is available on SIMMs and DIMMs, in 3.3 and 5 volt varieties If EDO memory is installed in a computer that was not designed to support it, the memory may not work."
2272,"US","RAM - 16 MB","Memory SIMM: RAM - 16 MB capacity."
2274,"US","RAM - 32 MB","Memory SIMM: RAM - 32 MB capacity."
3090,"US","RAM - 48 MB","Random Access Memory, SIMM - 48 MB capacity."
1739,"US","SDRAM - 128 MB","SDRAM memory, 128 MB capacity. SDRAM can access data at speeds up to 100 MHz, which is up to four times as fast as standard DRAMs. The advantages of SDRAM can be fully realized, however, only by computers designed to support SDRAM. SDRAM is available on 5 and 3.3 volt DIMMs."
